seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1755020187,5,192,171,0.890625,safe,0.007,False,False,0.0004822999981115572,4.561400055536069e-05
1755020188,5,526,463,0.8802281368821293,safe,0.007,False,False,0.005287686999508878,4.742199962493032e-05
1755020189,5,2208,2104,0.9528985507246377,safe,0.007,False,False,0.31304674300190527,6.229300197446719e-05
1755020190,5,248,224,0.9032258064516129,safe,0.007,False,False,0.004569132997858105,5.300600241753273e-05
1755020191,5,222,166,0.7477477477477478,safe,0.007,False,False,0.0004933999989589211,4.695400275522843e-05
1755020192,5,2904,2452,0.8443526170798898,safe,0.007,False,False,0.006991115998971509,6.384899825206958e-05
1755020193,5,2226,2113,0.949236298292902,safe,0.007,False,False,0.1292564030009089,7.449899931089021e-05
1755020194,5,2232,2116,0.9480286738351255,safe,0.007,False,False,0.08818003800115548,7.825699867680669e-05
1755020195,5,722,561,0.7770083102493075,safe,0.007,False,False,0.0022394260013243183,4.863900176133029e-05
1755020196,5,4006,3005,0.7501248127808288,safe,0.007,False,False,0.25839143699704437,0.0001021979987854138
1755020197,5,2454,2228,0.9079054604726976,safe,0.007,False,False,0.03417010100019979,5.875299757462926e-05
1755020198,5,76,59,0.7763157894736842,safe,0.007,False,False,0.0002292179997311905,4.543699833448045e-05
1755020199,5,2606,2303,0.8837298541826554,safe,0.007,False,False,0.12145513700306765,6.715700146742165e-05
1755020200,5,662,531,0.8021148036253777,safe,0.007,False,False,0.0027479329983179923,4.944299871567637e-05
1755020201,5,750,585,0.78,safe,0.007,False,False,0.0004808670018974226,4.641100167646073e-05
1755020202,5,438,420,0.958904109589041,safe,0.007,False,False,0.0031446160028281156,4.795900167664513e-05
1755020203,5,2604,2302,0.8840245775729647,safe,0.007,False,False,0.008121030001348117,5.3691997891291976e-05
1755020204,5,2514,2258,0.898170246618934,safe,0.007,False,False,0.034914730000309646,0.00011476700092316605
1755020205,5,4004,3112,0.7772227772227772,safe,0.007,False,False,0.02376582800206961,0.0001472709991503507
1755020206,5,450,328,0.7288888888888889,safe,0.007,,False,0.0017638209974393249,8.104399967123754e-05
1755020207,5,562,491,0.8736654804270463,safe,0.007,False,False,0.003598458999476861,6.390300040948205e-05
1755020208,5,2226,2113,0.949236298292902,safe,0.007,False,False,0.25892186099736136,7.876699964981526e-05
1755020209,5,2306,2153,0.9336513443191674,safe,0.007,False,False,0.1705851389997406,8.033099948079325e-05
1755020210,5,2064,2032,0.9844961240310077,safe,0.007,False,False,0.08904609000092023,8.310399789479561e-05
1755020211,5,1200,830,0.6916666666666667,safe,0.007,,False,0.00023678499928792007,4.8195000999839976e-05
1755020212,5,402,309,0.7686567164179104,safe,0.007,False,False,0.001780276001227321,4.587800140143372e-05
1755020213,5,166,143,0.8614457831325302,safe,0.007,False,False,0.0016586400015512481,4.4387998059391975e-05
1755020214,5,4000,3401,0.85025,safe,0.007,,False,0.0094992150006874,5.258799865259789e-05
1755020215,5,800,658,0.8225,safe,0.007,,False,0.0014311929990071803,5.0086000555893406e-05
1755020216,5,616,509,0.8262987012987013,safe,0.007,False,False,0.005922327996813692,5.719900218537077e-05
1755020217,5,242,201,0.8305785123966942,safe,0.007,,False,0.003915569999662694,4.86190001538489e-05
1755020218,5,2482,2241,0.90290088638195,safe,0.007,False,False,0.02765582999927574,6.467699859058484e-05
1755020219,5,2506,2253,0.8990422984836393,safe,0.007,False,False,0.22126259300057427,7.788299990352243e-05
1755020220,5,2314,2158,0.9325842696629213,safe,0.007,False,False,0.03447644900006708,6.612400102312677e-05
1755020221,5,434,417,0.9608294930875576,safe,0.007,False,False,0.012525096000899794,5.704800059902482e-05
1755020222,5,444.0,382,0.8603603603603603,safe,0.007,True,False,0.0007812670010025613,0.0006476660018961411
