seeds,num_tasks,final_e2e_max,mrt,R,exceed,false_percentage,adjust,inserted,run_time_our,run_time_G
1755017200,3,364.74738482967837,263.7473848296782,0.7230960270019128,safe,0.0,False,False,6.860900248284452e-05,0.0023820319984224625
1755017201,3,214.67696753205374,212.67696753205345,0.9906836768611348,safe,0.0,False,False,0.00011160800204379484,0.011101661999418866
1755017202,3,2315.870246729667,2314.8702467296657,0.9995681968791587,safe,0.0,,False,9.997200322686695e-05,0.01278856999851996
1755017203,3,266.3568619657372,223.8357627544271,0.840360413854178,safe,0.0,False,False,7.051200009300373e-05,0.006927132999408059
1755017204,3,1939.9792969164698,1934.2839459616125,0.9970642207553916,safe,0.0,,False,0.00010821199975907803,0.001329052000073716
1755017205,3,12.840054566413244,6.882604479246869,0.5360261082729545,safe,0.0,True,False,0.00021530399681068957,8.015699859242886e-05
1755017206,3,453.81598242323025,370.6319648464603,0.8167009960015197,safe,0.0,False,False,7.023500074865296e-05,5.925900040892884e-05
1755017207,3,141.25874687457815,119.99458121940143,0.849466556049397,safe,0.0,False,False,6.485899939434603e-05,0.0008398940008191857
1755017208,3,1299.8835270083368,1289.2691805362792,0.991834386503469,safe,0.0,False,False,6.317000224953517e-05,0.0021829050019732676
1755017209,3,1358.931622656501,1355.1272498490084,0.9972004678204075,safe,0.0,False,False,0.00011904499842785299,0.002345593999052653
1755017210,3,301.1932839696258,287.67125381680984,0.9551051405443038,safe,0.0,False,False,7.746000119368546e-05,0.00042627200309652835
1755017211,3,43.3380362801887,38.90392519227569,0.8976854636595523,safe,0.0,,False,0.00010132099851034582,8.034799975575879e-05
1755017212,3,1223.807849946923,1207.8372759323283,0.9869500967694501,safe,0.0,False,False,0.00010490800195839256,0.004212874002405442
1755017213,3,1588.7751614515328,1384.1018209855656,0.8711753900539495,safe,0.0,False,False,0.00012743800107273273,0.00014270799874793738
1755017214,3,285.9726020742042,234.96426453173825,0.8216320823306342,safe,0.0,False,False,7.891600034781732e-05,0.0010301119982614182
1755017215,3,219.03600726787806,207.33980547397454,0.9466014654859956,safe,0.0,False,False,8.199600051739253e-05,0.002789466001559049
1755017216,3,34.465800567713586,28.86681006853035,0.8375493849857594,safe,0.0,False,False,0.00017083399870898575,0.00029315299980225973
1755017217,3,1453.2406011267733,1440.8841751727382,0.9914973295237867,safe,0.0,False,False,8.502700075041503e-05,0.011472128000605153
1755017218,3,10.15123786345482,8.80489125928959,0.8673711893785708,safe,0.0,,False,5.804099782835692e-05,8.898299711290747e-05
1755017219,3,293.57799106510214,287.07762305472846,0.9778581221746552,safe,0.0,False,False,7.274699964909814e-05,0.004775884000991937
1755017220,3,1268.9086800681134,1252.42763282531,0.9870116364544699,safe,0.0,False,False,6.896299964864738e-05,0.07051868899725378
1755017221,3,1603.2977104182505,1556.165278173216,0.9706028194646774,safe,0.0,False,False,7.567700231447816e-05,0.000901580999197904
1755017222,3,278.3021328596244,257.4378346357143,0.9250300455496901,safe,0.0,False,False,9.69480024650693e-05,0.000767285000620177
1755017223,3,1150.8514415992436,1146.6232849585415,0.9963260621763427,safe,0.0,False,False,0.00011616900155786425,0.09596900700125843
1755017224,3,1131.0645309215583,1124.688461486005,0.9943627712997434,safe,0.0,False,False,7.048300176393241e-05,0.11676044399791863
1755017225,3,1536.875570979672,1371.2641000529557,0.8922414578942469,safe,0.0,False,False,8.532900028512813e-05,0.0004032379983982537
1755017226,3,1141.7102877168663,1135.8461455731695,0.9948637213776678,safe,0.0,False,False,0.00012798099851352163,0.0643342980001762
1755017227,3,157.54605126865243,145.26651637384626,0.9220574886141276,safe,0.0,False,False,6.545699943671934e-05,0.0002834369988704566
1755017228,3,23.90278569078322,13.93726513397954,0.5830812071144357,safe,0.0,False,False,0.00017333099822280928,3.4063999919453636e-05
1755017229,3,1280.356254170854,1277.979157289777,0.9981434097944745,safe,0.0,False,False,0.0001385529976687394,0.4389056940017326
1755017230,3,396.5625648140856,246.5625648140849,0.621749470804631,safe,0.0,False,False,5.294200309435837e-05,6.331199983833358e-05
1755017231,3,264.10090004676863,259.9065342637899,0.9841183207545452,safe,0.0,False,False,5.892499757464975e-05,0.0017193349995068274
1755017232,3,282.94211864973386,238.4795191589646,0.8428562007559878,safe,0.0,False,False,0.00010540299990680069,0.00023586899988004006
1755017233,3,151.7541252572502,143.73263506213658,0.9471415344952517,safe,0.0,False,False,6.625500100199133e-05,0.0010261339994031005
