seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,adjust,inserted,run_time_G,run_time_our
1755024836,3,2300,2150,0.9347826086956522,safe,0.0,False,False,0.00021865499911655206,2.7535999834071845e-05
1755024837,3,2402,2201,0.9163197335553706,safe,0.0,False,False,0.006776140000511077,3.693200051202439e-05
1755024838,3,800,601,0.75125,safe,0.0,,False,0.0010764380003820406,3.0949000574764796e-05
1755024839,3,2104,2052,0.9752851711026616,safe,0.0,False,False,0.004370489999928395,3.2890000511542894e-05
1755024840,3,2410,2205,0.9149377593360996,safe,0.0,False,False,0.0012295890010136645,3.1087000024854206e-05
1755024841,3,46,43,0.9347826086956522,safe,0.0,False,False,0.0001786660013749497,2.7566999051487073e-05
1755024842,3,450,425,0.9444444444444444,safe,0.0,False,False,0.0003897009992215317,3.553600072336849e-05
1755024843,3,700,600,0.8571428571428571,safe,0.0,False,False,6.464400030381512e-05,2.831699930538889e-05
1755024844,3,2042,2021,0.9897159647404505,safe,0.0,False,False,0.02074814499974309,7.321399971260689e-05
1755024845,3,422,411,0.9739336492890995,safe,0.0,False,False,0.0016635100000712555,3.1199000659398735e-05
1755024846,3,310,305,0.9838709677419355,safe,0.0,,False,0.0001467729998694267,2.866099930542987e-05
1755024847,3,144,132,0.9166666666666666,safe,0.0,False,False,0.0003171010012010811,3.0201999834389426e-05
1755024848,3,2102,2051,0.9757373929590866,safe,0.0,False,False,0.00897149499905936,4.5713000872638077e-05
1755024849,3,2600,2300,0.8846153846153846,safe,0.0,False,False,0.00013813700024911668,3.5060000300290994e-05
1755024850,3,2042,2021,0.9897159647404505,safe,0.0,False,False,0.014200294999682228,4.127300053369254e-05
1755024851,3,70,60,0.8571428571428571,safe,0.0,False,False,5.922700074734166e-05,2.7477000912767835e-05
1755024852,3,406,403,0.9926108374384236,safe,0.0,False,False,0.004287936999389785,4.5389000661089085e-05
1755024853,3,310,255,0.8225806451612904,safe,0.0,False,False,0.00016757800040068105,2.912600029958412e-05
1755024854,3,502,451,0.898406374501992,safe,0.0,False,False,0.0017310399998677894,3.688300057547167e-05
1755024855,3,424,412,0.9716981132075472,safe,0.0,False,False,0.0011776859992096433,3.2594000003882684e-05
1755024856,3,170,160,0.9411764705882353,safe,0.0,False,False,0.0001225160012836568,3.285500133642927e-05
1755024857,3,406,403,0.9926108374384236,safe,0.0,False,False,0.005316017999575706,4.033900040667504e-05
1755024858,3,2102,2051,0.9757373929590866,safe,0.0,False,False,0.010803694998685387,5.692100057785865e-05
1755024859,3,154,152,0.987012987012987,safe,0.0,,False,0.00022842300131742377,3.534999996190891e-05
1755024860,3,44,42,0.9545454545454546,safe,0.0,False,False,0.0002501190010661958,3.145499977108557e-05
1755024861,3,2204,2102,0.9537205081669692,safe,0.0,False,False,0.0037291599983291235,3.625599856604822e-05
1755024862,3,2220,2110,0.9504504504504504,safe,0.0,False,False,0.0011080179992859485,3.8718000723747537e-05
1755024863,3,170,160,0.9411764705882353,safe,0.0,,False,7.339099829550833e-05,2.920400038419757e-05
1755024864,3,442,421,0.9524886877828054,safe,0.0,False,False,0.0012900040001113666,2.9865999749745242e-05
1755024865,3,2024,2012,0.9940711462450593,safe,0.0,False,False,0.027698384999894188,4.253100087225903e-05
1755024866,3,154,152,0.987012987012987,safe,0.0,False,False,0.00016743899868743028,2.8276999728404917e-05
1755024867,3,2420,2210,0.9132231404958677,safe,0.0,False,False,0.0006886809987918241,3.080299939028919e-05
1755024868,3,40,30,0.75,safe,0.0,False,False,9.99490002868697e-05,3.325299985590391e-05
1755024869,3,203,202,0.9950738916256158,safe,0.0,False,False,0.0025985789998230757,4.4796999645768665e-05
1755024870,3,240,220,0.9166666666666666,safe,0.0,False,False,0.00014015299893799238,2.8848999136243947e-05
1755024871,3,46,44,0.9565217391304348,safe,0.0,False,False,0.00016099900130939204,3.131099947495386e-05
1755024872,3,32,26,0.8125,safe,0.0,False,False,0.000159060999067151,3.196500074409414e-05
1755024873,3,2220,2110,0.9504504504504504,safe,0.0,False,False,0.0005434639988379786,2.4095999833662063e-05
1755024874,3,2402,2201,0.9163197335553706,safe,0.0,False,False,0.008830349999698228,3.751499934878666e-05
1755024875,3,620,510,0.8225806451612904,safe,0.0,False,False,0.0002030669984378619,3.234699943277519e-05
1755024876,3,444,422,0.9504504504504504,safe,0.0,False,False,0.0009617739997338504,3.573300091375131e-05
1755024877,3,2410,2205,0.9149377593360996,safe,0.0,False,False,0.001614495999092469,4.372200055513531e-05
1755024878,3,502,451,0.898406374501992,safe,0.0,False,False,0.001724612000543857,4.491700019570999e-05
1755024879,3,244,222,0.9098360655737705,safe,0.0,False,False,0.00041714399958436843,3.761200059670955e-05
1755024880,3,2102,2051,0.9757373929590866,safe,0.0,False,False,0.010681039999326458,5.344600140233524e-05
1755024881,3,420,410,0.9761904761904762,safe,0.0,False,False,0.0006919280003785389,3.3259000701946206e-05
1755024882,3,604,502,0.8311258278145696,safe,0.0,False,False,0.0006700300000375137,3.36620014422806e-05
1755024883,3,640,620,0.96875,safe,0.0,,False,0.0001665540003159549,3.454400030022953e-05
1755024884,3,2202,2101,0.9541326067211626,safe,0.0,False,False,0.006770571999368258,3.375400046934374e-05
1755024885,3,480,440,0.9166666666666666,safe,0.0,False,False,0.00015156100016611163,2.766499892459251e-05
1755024886,3,114,108,0.9473684210526315,safe,0.0,False,False,0.0002017049991991371,2.8379001378198154e-05
1755024887,3,2110,2055,0.9739336492890995,safe,0.0,False,False,0.0017465250002715038,3.123299939034041e-05
1755024888,3,180,150,0.8333333333333334,safe,0.0,False,False,7.322199962800369e-05,2.5052000637515448e-05
1755024889,3,260,240,0.9230769230769231,safe,0.0,False,False,0.00012019099995086435,2.8578000637935475e-05
1755024890,3,422,411,0.9739336492890995,safe,0.0,False,False,0.0017002690001390874,3.1545998353976756e-05
1755024891,3,504,452,0.8968253968253969,safe,0.0,False,False,0.0006294780014286516,2.9742001061094925e-05
1755024892,3,60,50,0.8333333333333334,safe,0.0,False,False,0.0001096539999707602,2.6802999855135567e-05
1755024893,3,2110,2055,0.9739336492890995,safe,0.0,False,False,0.0017825850009103306,3.027500133612193e-05
1755024894,3,600,500,0.8333333333333334,safe,0.0,False,False,8.706700100447051e-05,2.577600025688298e-05
1755024895,3,2012,2006,0.9970178926441352,safe,0.0,False,False,0.07898924100118165,6.19530001131352e-05
1755024896,3,460,430,0.9347826086956522,safe,0.0,False,False,0.00023408600100083277,2.7510001018526964e-05
1755024897,3,220,210,0.9545454545454546,safe,0.0,False,False,0.0002720690008573001,3.0274999517132528e-05
1755024898,3,424,412,0.9716981132075472,safe,0.0,False,False,0.0011555439996300265,3.541300065990072e-05
1755024899,3,16,14,0.875,safe,0.0,False,False,7.381499926850665e-05,1.952499951585196e-05
1755024900,3,46,43,0.9347826086956522,safe,0.0,False,False,0.00017174999993585516,2.7132000468554907e-05
1755024901,3,2012,2006,0.9970178926441352,safe,0.0,False,False,0.05153524699926493,6.762500015611295e-05
1755024902,3,602,601,0.9983388704318937,safe,0.0,,False,0.0020139309999649413,7.973299943841994e-05
1755024903,3,130,115,0.8846153846153846,safe,0.0,False,False,0.00021730899970862083,5.66849994356744e-05
1755024904,3,40,35,0.875,safe,0.0,False,False,0.00011338900003465824,4.184300087217707e-05
1755024905,3,206,204,0.9902912621359223,safe,0.0,False,False,0.0008976739991339855,3.401499998290092e-05
