seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,adjusted,inserted,run_time_G,run_time_our,finalpercent
1755016217,8,2242.0,2122,0.9464763603925068,safe,0.029,False,False,0.578902454002673,9.626599785406142e-05,0.0421
1755016218,8,232.0,202,0.8706896551724138,safe,0.029,True,False,0.0020271700013836,0.0003367610006534,0.0421
1755016219,8,2966.0,2493,0.8405259608900877,safe,0.029,False,False,0.1774425529984,8.957699901657179e-05,0.0421
1755016220,8,812.0,660,0.812807881773399,safe,0.029,False,False,0.0092047600010118,7.755900151096284e-05,0.0421
1755016221,8,850.0,625,0.7352941176470589,safe,0.029,False,True,0.0011581590006244,0.0001043970005412,0.0421
1755016222,8,2512.0,2256,0.8980891719745223,safe,0.029,False,False,0.5163555559993256,9.310700261266902e-05,0.0421
1755016223,8,4506.0,3284,0.7288060363959166,safe,0.029,,False,0.4031115619982302,0.0001017159993352,0.0421
1755016224,8,213.0,164,0.7699530516431925,safe,0.029,False,True,0.0018211819988209,0.000116153001727,0.0421
1755016225,8,2844.0,2422,0.8516174402250352,safe,0.029,False,False,0.286304833000031,9.122199844568968e-05,0.0421
1755016226,8,2600.0,2310,0.8884615384615384,safe,0.029,False,False,0.0057102850005321,8.270300168078393e-05,0.0421
1755016227,8,2550.0,2275,0.8921568627450981,safe,0.029,False,False,0.0277445870015071,7.962699964991771e-05,0.0421
1755016228,8,2780.0,2390,0.8597122302158273,safe,0.029,False,False,0.0092771150011685,8.054200225160457e-05,0.0421
1755016229,8,1018.0,734,0.7210216110019646,safe,0.029,False,False,0.0052130990006844,7.874600123614073e-05,0.0421
1755016230,8,2958.0,2490,0.8417849898580122,safe,0.029,False,False,0.1006288669996138,8.92489988473244e-05,0.0421
1755016231,8,2848.0,2524,0.8862359550561798,safe,0.029,False,False,0.0803050029971927,0.0011898100019607,0.0421
1755016232,8,3252.0,2626,0.8075030750307504,safe,0.029,False,False,0.0795042530007776,8.788100240053609e-05,0.0421
1755016233,8,3140.0,2570,0.8184713375796179,safe,0.029,False,False,0.0187492479999491,8.450599852949381e-05,0.0421
1755016234,8,430.0,365,0.8488372093023255,safe,0.029,False,False,0.0040305149996129,0.000606654000876,0.0421
1755016235,8,4050.0,3325,0.8209876543209876,safe,0.029,False,False,0.2707810329993663,0.0001002609969873,0.0421
1755016236,8,0.0,717,,,0.029,False,False,0.0131596600003831,0.0007821129984222,0.0421
