seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,finalpercent_x,finalpercent_y,finalpercent
1755016059,10,0.02,2823.9600000000005,2675.349935787722,0.947375294192454,safe,0.31,0.279,0.279,0.279
1755016060,10,0.02,0.0,489.0569793839602,,,0.31,0.279,0.279,0.279
1755016061,10,0.02,5349.243434926053,4873.255544510321,0.9110177175134838,safe,0.31,0.279,0.279,0.279
1755016062,10,0.02,4028.6927808306505,3964.531506816624,0.9840739223602952,safe,0.31,0.279,0.279,0.279
1755016063,10,0.02,2797.7,2647.55435269852,0.9463324704930912,safe,0.31,0.279,0.279,0.279
1755016064,10,0.02,2692.66,2492.5385408352013,0.9256788977573112,safe,0.31,0.279,0.279,0.279
1755016065,10,0.02,4215.286746029511,4106.477808462525,0.9741870614924416,safe,0.31,0.279,0.279,0.279
1755016066,10,0.02,2862.34,2579.8380480964265,0.9013038451394406,safe,0.31,0.279,0.279,0.279
1755016067,10,0.02,854.46,751.9637104826033,0.8800455380972817,safe,0.31,0.279,0.279,0.279
1755016068,10,0.02,0.0,619.0917013678172,,,0.31,0.279,0.279,0.279
1755016069,10,0.02,3700.975778862024,3535.6826556862216,0.9553379613776812,safe,0.31,0.279,0.279,0.279
1755016070,10,0.02,0.0,629.5730485900854,,,0.31,0.279,0.279,0.279
1755016071,10,0.02,455.7205529392959,401.518393956072,0.881062728828814,safe,0.31,0.279,0.279,0.279
1755016072,10,0.02,3133.02,2773.0009723716903,0.8850888192133118,safe,0.31,0.279,0.279,0.279
1755016073,10,0.02,3133.810867318006,2761.81813460028,0.8812970059561742,safe,0.31,0.279,0.279,0.279
1755016074,10,0.02,0.0,1090.4311197357024,,,0.31,0.279,0.279,0.279
1755016075,10,0.02,1082.860621585885,1021.0447897119774,0.9429143228208112,safe,0.31,0.279,0.279,0.279
1755016076,10,0.02,4198.896509825726,3911.37258828258,0.9315239323307164,safe,0.31,0.279,0.279,0.279
1755016077,10,0.02,0.0,1317.0346991546903,,,0.31,0.279,0.279,0.279
1755016078,10,0.02,3213.82,2724.299692150424,0.8476827240325917,safe,0.31,0.279,0.279,0.279
1755016079,10,0.02,3074.44,2869.284518995098,0.933270618062183,safe,0.31,0.279,0.279,0.279
1755016080,10,0.02,0.0,5022.14141295274,,,0.31,0.279,0.279,0.279
1755016081,10,0.02,1274.9022803663493,1274.7100145485165,0.9998491917217548,safe,0.31,0.279,0.279,0.279
1755016082,10,0.02,340.8098435358694,332.0478359260924,0.9742906263537696,safe,0.31,0.279,0.279,0.279
1755016083,10,0.02,2535.1000000000004,2452.921479667614,0.9675837164875604,safe,0.31,0.279,0.279,0.279
1755016084,10,0.02,0.0,1105.1161831156933,,,0.31,0.279,0.279,0.279
1755016085,10,0.02,2817.9,2674.463422273588,0.9490980596449796,safe,0.31,0.279,0.279,0.279
1755016086,10,0.02,3059.4334205389446,2886.4094570277703,0.9434457496771756,safe,0.31,0.279,0.279,0.279
1755016087,10,0.02,4404.189848087232,4121.795384971483,0.9358804972409636,safe,0.31,0.279,0.279,0.279
1755016088,10,0.02,0.0,631.8452555345848,,,0.31,0.279,0.279,0.279
1755016089,10,0.02,3021.92,2843.325240329592,0.9409002357208636,safe,0.31,0.279,0.279,0.279
1755016090,10,0.02,0.0,2630.3044509742144,,,0.31,0.279,0.279,0.279
1755016091,10,0.02,2866.380000000001,2666.2674787144933,0.9301863251608276,safe,0.31,0.279,0.279,0.279
1755016092,10,0.02,2953.24,2657.150849125722,0.8997409113806267,safe,0.31,0.279,0.279,0.279
1755016093,10,0.02,0.0,840.5331811974115,,,0.31,0.279,0.279,0.279
1755016094,10,0.02,0.0,5993.190565621277,,,0.31,0.279,0.279,0.279
1755016095,10,0.02,0.0,518.9749790101614,,,0.31,0.279,0.279,0.279
1755016096,10,0.02,2809.82,2699.578599962103,0.960765671808907,safe,0.31,0.279,0.279,0.279
1755016097,10,0.02,670.64,600.8842671672974,0.8959863222702156,safe,0.31,0.279,0.279,0.279
1755016098,10,0.02,2789.62,2572.22968853924,0.922071711752583,safe,0.31,0.279,0.279,0.279
1755016099,10,0.02,3811.74,3425.1213253760943,0.8985716038806671,safe,0.31,0.279,0.279,0.279
1755016100,10,0.02,5207.8687090291305,5120.82077534569,0.9832853056505588,safe,0.31,0.279,0.279,0.279
1755016101,10,0.02,0.0,6657.151794705436,,,0.31,0.279,0.279,0.279
1755016102,10,0.02,0.0,3510.262496112564,,,0.31,0.279,0.279,0.279
1755016103,10,0.02,2746.6606187912043,2486.4990279925223,0.9052807656618392,safe,0.31,0.279,0.279,0.279
1755016104,10,0.02,0.0,863.2913924702007,,,0.31,0.279,0.279,0.279
1755016105,10,0.02,2739.12,2630.7409960295754,0.960432911310777,safe,0.31,0.279,0.279,0.279
1755016106,10,0.02,0.0,2426.506943357622,,,0.31,0.279,0.279,0.279
1755016107,10,0.02,0.0,1572.0334630672296,,,0.31,0.279,0.279,0.279
1755016108,10,0.02,3860.410375919864,3756.695377198909,0.9731336856392524,safe,0.31,0.279,0.279,0.279
1755016109,10,0.02,4018.591969998096,3896.563651997363,0.9696340611558056,safe,0.31,0.279,0.279,0.279
1755016010,10,0.05,0.0,3077.59478149938,,,0.33,0.352,0.352,0.352
1755016011,10,0.05,0.0,4282.827577823762,,,0.33,0.352,0.352,0.352
1755016012,10,0.05,4680.06648609402,4606.956046533422,0.9843783331331226,safe,0.33,0.352,0.352,0.352
1755016013,10,0.05,2675.25,2570.851033047773,0.9609759959060922,safe,0.33,0.352,0.352,0.352
1755016014,10,0.05,2995.05,2805.7973006647007,0.9368115058729238,safe,0.33,0.352,0.352,0.352
1755016015,10,0.05,0.0,6030.978199011281,,,0.33,0.352,0.352,0.352
1755016016,10,0.05,7204.466357697325,7185.436269318017,0.9973585707206508,safe,0.33,0.352,0.352,0.352
1755016017,10,0.05,967.6,796.3203720155725,0.8229850888957964,safe,0.33,0.352,0.352,0.352
1755016018,10,0.05,1061.4305511890966,1010.1193711708474,0.9516584669993092,safe,0.33,0.352,0.352,0.352
1755016019,10,0.05,0.0,1684.7062763855793,,,0.33,0.352,0.352,0.352
1755016020,10,0.05,3384.55,2951.079764967666,0.8719267745985925,safe,0.33,0.352,0.352,0.352
1755016021,10,0.05,7467.613089165028,7329.266188213113,0.9814737454525266,safe,0.33,0.352,0.352,0.352
1755016022,10,0.05,0.0,4283.70281366344,,,0.33,0.352,0.352,0.352
1755016023,10,0.05,3118.05,2841.9201844463687,0.9114415049298018,safe,0.33,0.352,0.352,0.352
1755016024,10,0.05,4402.54053572303,4140.431069623575,0.940464042528933,safe,0.33,0.352,0.352,0.352
1755016025,10,0.05,4671.442185658737,4506.443647454726,0.9646793149424916,safe,0.33,0.352,0.352,0.352
1755016026,10,0.05,4241.238168103886,4207.805309640303,0.992117193815001,safe,0.33,0.352,0.352,0.352
1755016027,10,0.05,4504.737713384669,4380.949520401948,0.9725204438396232,safe,0.33,0.352,0.352,0.352
1755016028,10,0.05,5256.145681780079,5211.394718586525,0.9914859735816154,safe,0.33,0.352,0.352,0.352
1755016029,10,0.05,0.0,5942.120595771066,,,0.33,0.352,0.352,0.352
1755016030,10,0.05,5081.103875784869,5040.4488809707655,0.9919987869156044,safe,0.33,0.352,0.352,0.352
1755016031,10,0.05,0.0,4646.153734250285,,,0.33,0.352,0.352,0.352
1755016032,10,0.05,369.3888213180957,317.5140951019312,0.859566063664138,safe,0.33,0.352,0.352,0.352
1755016033,10,0.05,0.0,889.1820003792964,,,0.33,0.352,0.352,0.352
1755016034,10,0.05,3011.8314728775977,2649.184044699733,0.879592390396472,safe,0.33,0.352,0.352,0.352
1755016035,10,0.05,5872.378726647003,5829.694023772172,0.9927312755423724,safe,0.33,0.352,0.352,0.352
1755016036,10,0.05,6357.003951472782,6107.593134321069,0.9607659804751372,safe,0.33,0.352,0.352,0.352
1755016037,10,0.05,2913.73222870314,2790.3733693974964,0.9576629389308884,safe,0.33,0.352,0.352,0.352
1755016038,10,0.05,0.0,723.2591428184969,,,0.33,0.352,0.352,0.352
1755016039,10,0.05,5409.8441681167415,5285.009944236369,0.9769246174194646,safe,0.33,0.352,0.352,0.352
1755016040,10,0.05,4322.900725510803,4214.389718928112,0.9748985661543572,safe,0.33,0.352,0.352,0.352
1755016041,10,0.05,6345.349559610361,6141.387638224056,0.9678564719768048,safe,0.33,0.352,0.352,0.352
1755016042,10,0.05,227.07934912663103,209.4785552162909,0.9224905568118176,safe,0.33,0.352,0.352,0.352
1755016043,10,0.05,2999.15,2736.6888305655866,0.9124881484972698,safe,0.33,0.352,0.352,0.352
1755016044,10,0.05,434.7306333409292,427.2584260274889,0.9828118684528486,safe,0.33,0.352,0.352,0.352
1755016045,10,0.05,3058.6,2777.523785981117,0.9081029837118672,safe,0.33,0.352,0.352,0.352
1755016046,10,0.05,3747.4,3290.0143575264883,0.8779458711443903,safe,0.33,0.352,0.352,0.352
1755016047,10,0.05,2302.6313914778466,2251.474536812653,0.9777833070223364,safe,0.33,0.352,0.352,0.352
1755016048,10,0.05,0.0,1123.1599446348137,,,0.33,0.352,0.352,0.352
1755016049,10,0.05,2964.3,2654.658786798645,0.8955432266635108,safe,0.33,0.352,0.352,0.352
1755016050,10,0.05,2447.7000000000007,2321.488516895204,0.9484367025759708,safe,0.33,0.352,0.352,0.352
1755016051,10,0.05,234.4795931085181,218.5174027608928,0.9319250339186748,safe,0.33,0.352,0.352,0.352
1755016052,10,0.05,0.0,1175.6269748989434,,,0.33,0.352,0.352,0.352
1755016053,10,0.05,6141.851768836763,6139.089674868388,0.9995502831927028,safe,0.33,0.352,0.352,0.352
1755016054,10,0.05,0.0,938.0743530711688,,,0.33,0.352,0.352,0.352
1755016055,10,0.05,0.0,2432.0382562988307,,,0.33,0.352,0.352,0.352
1755016056,10,0.05,0.0,3583.042426907341,,,0.33,0.352,0.352,0.352
1755016057,10,0.05,5620.717890607924,5562.750285286865,0.9896867968737728,safe,0.33,0.352,0.352,0.352
1755016058,10,0.05,0.0,785.9096090499286,,,0.33,0.352,0.352,0.352
1755016059,10,0.05,2865.9,2705.59894770608,0.9440660691950448,safe,0.33,0.352,0.352,0.352
1755016060,10,0.05,0.0,491.8142421279295,,,0.33,0.352,0.352,0.352
1755016061,10,0.05,5400.993434926053,4878.812047483749,0.9033175296852674,safe,0.33,0.352,0.352,0.352
1755016062,10,0.05,4062.5327808306506,3965.9062600780735,0.976215202198856,safe,0.33,0.352,0.352,0.352
1755016063,10,0.05,2839.25,2649.023480595417,0.933001137834082,safe,0.33,0.352,0.352,0.352
1755016064,10,0.05,2732.65,2495.0417299198416,0.9130484071944236,safe,0.33,0.352,0.352,0.352
1755016065,10,0.05,4250.89674602951,4135.921787537794,0.9729527755292796,safe,0.33,0.352,0.352,0.352
1755016066,10,0.05,2904.8500000000004,2582.158221301742,0.8889127567006012,safe,0.33,0.352,0.352,0.352
1755016067,10,0.05,867.15,753.3819458127473,0.868802336173381,safe,0.33,0.352,0.352,0.352
1755016068,10,0.05,0.0,622.0000778948381,,,0.33,0.352,0.352,0.352
1755016069,10,0.05,3737.275778862024,3672.918751311372,0.9827796953292413,safe,0.33,0.352,0.352,0.352
1755016070,10,0.05,0.0,630.548440621281,,,0.33,0.352,0.352,0.352
1755016071,10,0.05,460.6705529392958,411.4697767195712,0.893197479400842,safe,0.33,0.352,0.352,0.352
1755016072,10,0.05,3179.55,2872.977054265437,0.903579768918695,safe,0.33,0.352,0.352,0.352
1755016073,10,0.05,3179.4108673180053,2762.7462824111567,0.8689491222446735,safe,0.33,0.352,0.352,0.352
1755016074,10,0.05,0.0,1095.785588718638,,,0.33,0.352,0.352,0.352
1755016075,10,0.05,1092.370621585885,1023.004902560036,0.9364998310507976,safe,0.33,0.352,0.352,0.352
1755016076,10,0.05,4239.0065098257255,4092.361512361657,0.9654058097990282,safe,0.33,0.352,0.352,0.352
1755016077,10,0.05,0.0,1322.911157759177,,,0.33,0.352,0.352,0.352
1755016078,10,0.05,3261.55,2729.577659975301,0.8368958501250329,safe,0.33,0.352,0.352,0.352
1755016079,10,0.05,3120.1,2913.725432786759,0.933856425366738,safe,0.33,0.352,0.352,0.352
1755016080,10,0.05,0.0,5221.899610306879,,,0.33,0.352,0.352,0.352
