seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage
1756824023,3,0,212,206,0.9716981132075472,safe,0.0
1756824024,3,0,62,51,0.8225806451612904,safe,0.0
1756824025,3,0,414,408,0.9855072463768116,safe,0.0
1756824026,3,0,800,700,0.875,safe,0.0
1756824027,3,0,2102,2051,0.9757373929590866,safe,0.0
1756824028,3,0,114,108,0.9473684210526315,safe,0.0
1756824029,3,0,160,155,0.96875,safe,0.0
1756824030,3,0,3020,3010,0.9966887417218543,safe,0.0
1756824031,3,0,540,480,0.8888888888888888,safe,0.0
1756824032,3,0,2202,2101,0.9541326067211626,safe,0.0
1756824033,3,0,62,51,0.8225806451612904,safe,0.0
1756824034,3,0,2006,2003,0.9985044865403788,safe,0.0
1756824035,3,0,2024,2012,0.9940711462450593,safe,0.0
1756824036,3,0,70,60,0.8571428571428571,safe,0.0
1756824037,3,0,34,32,0.9411764705882353,safe,0.0
1756824038,3,0,26,23,0.8846153846153846,safe,0.0
1756824039,3,0,26,23,0.8846153846153846,safe,0.0
1756824040,3,0,26,23,0.8846153846153846,safe,0.0
1756824041,3,0,120,110,0.9166666666666666,safe,0.0
1756824042,3,0,2120,2060,0.9716981132075472,safe,0.0
1756824043,3,0,64,52,0.8125,safe,0.0
1756824044,3,0,2140,2080,0.9719626168224299,safe,0.0
1756824045,3,0,2050,2025,0.9878048780487805,safe,0.0
1756824046,3,0,2042,2021,0.9897159647404505,safe,0.0
1756824047,3,0,18,15,0.8333333333333334,safe,0.0
1756824048,3,0,2210,2105,0.9524886877828054,safe,0.0
1756824049,3,0,242,221,0.9132231404958677,safe,0.0
1756824050,3,0,70,55,0.7857142857142857,safe,0.0
1756824051,3,0,504,452,0.8968253968253969,safe,0.0
1756824052,3,0,13,12,0.9230769230769231,safe,0.0
1756824053,3,0,2014,2008,0.997020854021847,safe,0.0
1756824054,3,0,60,50,0.8333333333333334,safe,0.0
1756824055,3,0,310,255,0.8225806451612904,safe,0.0
1756824056,3,0,340,280,0.8235294117647058,safe,0.0
1756824057,3,0,2104,2052,0.9752851711026616,safe,0.0
1756824058,3,0,40,30,0.75,safe,0.0
1756824059,3,0,70,55,0.7857142857142857,safe,0.0
1756824060,3,0,2044,2022,0.9892367906066536,safe,0.0
1756824061,3,0,32,26,0.8125,safe,0.0
1756824062,3,0,3100,3050,0.9838709677419355,safe,0.0
1756824063,3,0,430,415,0.9651162790697675,safe,0.0
1756824064,3,0,450,425,0.9444444444444444,safe,0.0
1756824065,3,0,212,206,0.9716981132075472,safe,0.0
1756824066,3,0,2500,2250,0.9,safe,0.0
1756824067,3,0,106,103,0.9716981132075472,safe,0.0
1756824068,3,0,20,20,1.0,safe,0.0
1756824069,3,0,2400,2200,0.9166666666666666,safe,0.0
1756824070,3,0,602,501,0.8322259136212624,safe,0.0
1756824071,3,0,302,251,0.8311258278145696,safe,0.0
1756824072,3,0,70,55,0.7857142857142857,safe,0.0
1756824073,3,0,2404,2202,0.9159733777038269,safe,0.0
1756824074,3,0,460,430,0.9347826086956522,safe,0.0
1756824075,3,0,420,410,0.9761904761904762,safe,0.0
1756824076,3,0,600,500,0.8333333333333334,safe,0.0
1756824077,3,0,320,310,0.96875,safe,0.0
1756824078,3,0,800,800,1.0,safe,0.0
1756824079,3,0,3200,3100,0.96875,safe,0.0
1756824080,3,0,2202,2101,0.9541326067211626,safe,0.0
1756824081,3,0,120,110,0.9166666666666666,safe,0.0
1756824082,3,0,2204,2102,0.9537205081669692,safe,0.0
1756824083,3,0,2600,2300,0.8846153846153846,safe,0.0
1756824084,3,0,106,103,0.9716981132075472,safe,0.0
1756824085,3,0,240,220,0.9166666666666666,safe,0.0
1756824086,3,0,2120,2060,0.9716981132075472,safe,0.0
1756824087,3,0,34,32,0.9411764705882353,safe,0.0
1756824088,3,0,4000,4000,1.0,safe,0.0
1756824089,3,0,3020,3010,0.9966887417218543,safe,0.0
1756824090,3,0,2404,2202,0.9159733777038269,safe,0.0
1756824091,3,0,3040,3020,0.993421052631579,safe,0.0
1756824092,3,0,340,280,0.8235294117647058,safe,0.0
1756824093,3,0,222,211,0.9504504504504504,safe,0.0
1756824094,3,0,214,208,0.9719626168224299,safe,0.0
1756824095,3,0,800,700,0.875,safe,0.0
1756824096,3,0,35,30,0.8571428571428571,safe,0.0
1756824097,3,0,408,404,0.9901960784313726,safe,0.0
1756824098,3,0,2420,2210,0.9132231404958677,safe,0.0
1756824099,3,0,250,225,0.9,safe,0.0
1756824100,3,0,340,280,0.8235294117647058,safe,0.0
1756824101,3,0,242,221,0.9132231404958677,safe,0.0
1756824102,3,0,2202,2101,0.9541326067211626,safe,0.0
1756824103,3,0,2600,2400,0.9230769230769231,safe,0.0
1756824104,3,0,2300,2150,0.9347826086956522,safe,0.0
1756824105,3,0,224,212,0.9464285714285714,safe,0.0
1756824106,3,0,403,402,0.9975186104218362,safe,0.0
1756824107,3,0,152,151,0.993421052631579,safe,0.0
1756824108,3,0,240,220,0.9166666666666666,safe,0.0
1756824109,3,0,250,225,0.9,safe,0.0
1756824110,3,0,3200,3100,0.96875,safe,0.0
1756824111,3,0,304,252,0.8289473684210527,safe,0.0
1756824112,3,0,340,280,0.8235294117647058,safe,0.0
1756824113,3,0,424,412,0.9716981132075472,safe,0.0
1756824114,3,0,2440,2220,0.9098360655737705,safe,0.0
1756824115,3,0,244,222,0.9098360655737705,safe,0.0
1756824116,3,0,108,104,0.9629629629629629,safe,0.0
1756824117,3,0,442,421,0.9524886877828054,safe,0.0
1756824118,3,0,224,212,0.9464285714285714,safe,0.0
1756824119,3,0,260,240,0.9230769230769231,safe,0.0
1756824120,3,0,2020,2010,0.995049504950495,safe,0.0
1756824121,3,0,400,350,0.875,safe,0.0
1756824122,3,0,450,425,0.9444444444444444,safe,0.0
1756824123,3,0,604,502,0.8311258278145696,safe,0.0
1756824124,3,0,26,23,0.8846153846153846,safe,0.0
1756824125,3,0,310,255,0.8225806451612904,safe,0.0
1756824126,3,0,450,425,0.9444444444444444,safe,0.0
1756824127,3,0,2003,2002,0.9995007488766849,safe,0.0
1756824128,3,0,112,106,0.9464285714285714,safe,0.0
1756824129,3,0,2050,2025,0.9878048780487805,safe,0.0
1756824130,3,0,222,211,0.9504504504504504,safe,0.0
1756824131,3,0,620,510,0.8225806451612904,safe,0.0
1756824132,3,0,400,302,0.755,safe,0.0
1756824133,3,0,700,550,0.7857142857142857,safe,0.0
1756824134,3,0,430,415,0.9651162790697675,safe,0.0
1756824135,3,0,60,50,0.8333333333333334,safe,0.0
1756824136,3,0,602,501,0.8322259136212624,safe,0.0
1756824137,3,0,250,225,0.9,safe,0.0
1756824138,3,0,640,520,0.8125,safe,0.0
1756824139,3,0,2404,2202,0.9159733777038269,safe,0.0
