seeds,num_tasks,per_jitter,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G
1756845840,10,0,5402,5301,0.9813032210292484,safe,0.166,3.593391738831997e-05,0.6627359550911933
1756845841,10,0,3426,2852,0.8324576765907764,safe,0.166,3.7365127354860306e-05,0.1452365079894662
1756845842,10,0,492,410,0.8333333333333334,safe,0.166,3.805803135037422e-05,0.0010142331011593342
1756845843,10,0,4456,4414,0.9905745062836625,safe,0.166,3.6465004086494446e-05,0.12310407101176679
1756845844,10,0,0,1151,,,0.166,2.756086178123951e-05,0.00030720001086592674
1756845845,10,0,2938,2801,0.9533696392103471,safe,0.166,4.1797058656811714e-05,0.22146014194004238
1756845846,10,0,3474,3000,0.8635578583765112,safe,0.166,3.7764897570014e-05,0.0024884268641471863
1756845847,10,0,4664,4400,0.9433962264150944,safe,0.166,3.494718112051487e-05,0.0007717299740761518
1756845848,10,0,6400,6200,0.96875,safe,0.166,3.268918953835964e-05,0.0027675360906869173
1756845849,10,0,996,741,0.7439759036144579,safe,0.166,3.054901026189327e-05,0.00034460006281733513
1756845850,10,0,6020,6010,0.9983388704318937,safe,0.166,4.1985884308815e-05,0.0017692060209810734
1756845851,10,0,4462,4405,0.9872254594352309,safe,0.166,3.3664051443338394e-05,0.1833405348006636
1756845852,10,0,888,757,0.8524774774774775,safe,0.166,5.428120493888855e-05,0.0026762180496007204
1756845853,10,0,3036,2772,0.9130434782608695,safe,0.166,3.902800381183624e-05,0.15858197817578912
1756845854,10,0,2100,2067,0.9842857142857143,safe,0.166,3.365008160471916e-05,0.3244212327990681
1756845855,10,0,3746,3000,0.800854244527496,safe,0.166,5.407491698861122e-05,0.007982081966474652
1756845856,10,0,2896,2757,0.9520027624309392,safe,0.166,3.754510544240475e-05,0.11274315905757248
1756845857,10,0,2668,2410,0.9032983508245878,safe,0.166,4.030903801321983e-05,0.0011910060420632362
1756845858,10,0,5080,4570,0.8996062992125984,safe,0.166,4.226691089570522e-05,0.002644253894686699
1756845859,10,0,4212,4106,0.9748338081671415,safe,0.166,3.7972815334796906e-05,0.33186637214384973
1756845860,10,0,768,720,0.9375,safe,0.166,3.333901986479759e-05,0.000681266887113452
1756845861,10,0,3068,3000,0.9778357235984355,safe,0.166,3.3387914299964905e-05,0.0017098160460591316
1756845862,10,0,3222,2900,0.9000620732464308,safe,0.166,3.204401582479477e-05,0.0014633408281952143
1756845863,10,0,2964,2715,0.9159919028340081,safe,0.166,3.0633993446826935e-05,0.007090379949659109
1756845864,10,0,5150,5075,0.9854368932038835,safe,0.166,3.2656826078891754e-05,0.007777838967740536
1756845865,10,0,580,505,0.8706896551724138,safe,0.166,2.9888935387134552e-05,0.0003403469454497099
1756845866,10,0,3308,3222,0.9740024183796856,safe,0.166,2.9162969440221786e-05,0.0008987688925117254
1756845867,10,0,0,4300,,,0.166,2.0391074940562248e-05,0.002865332178771496
1756845868,10,0,542,520,0.959409594095941,safe,0.166,3.262585960328579e-05,0.002641319064423442
1756845869,10,0,906,865,0.9547461368653422,safe,0.166,2.833711914718151e-05,0.0005325798410922289
1756845870,10,0,4900,4650,0.9489795918367347,safe,0.166,3.2064039260149e-05,0.0005589560605585575
1756845871,10,0,928,854,0.9202586206896551,safe,0.166,3.458699211478233e-05,0.0005411210004240274
1756845872,10,0,2746,2605,0.948652585579024,safe,0.166,3.018416464328766e-05,0.05102003086358309
1756845873,10,0,166,154,0.927710843373494,safe,0.166,3.534206189215183e-05,0.00018923799507319927
1756845874,10,0,4854,4617,0.9511742892459827,safe,0.166,4.108692519366741e-05,0.005920481868088245
1756845875,10,0,2596,2433,0.937211093990755,safe,0.166,3.127008676528931e-05,0.611599138006568
1756845876,10,0,0,420,,,0.166,3.1365081667900085e-05,0.00025713606737554073
1756845877,10,0,1014,1005,0.9911242603550295,safe,0.166,2.977810800075531e-05,0.004358322126790881
1756845878,10,0,5640,5320,0.9432624113475178,safe,0.166,3.398815169930458e-05,0.004349519032984972
1756845879,10,0,6120,6060,0.9901960784313726,safe,0.166,3.447616472840309e-05,0.05991924088448286
1756845880,10,0,2540,2330,0.9173228346456693,safe,0.166,3.469083458185196e-05,0.01140042208135128
1756845881,10,0,3310,2840,0.8580060422960725,safe,0.166,3.774883225560188e-05,0.003927410114556551
1756845882,10,0,648,592,0.9135802469135802,safe,0.166,3.1624920666217804e-05,0.00036277296021580696
1756845883,10,0,2938,2900,0.9870660313138189,safe,0.166,3.5785138607025146e-05,0.00366891804151237
1756845884,10,0,4620,4410,0.9545454545454546,safe,0.166,3.3597927540540695e-05,0.0039874359499663115
1756845885,10,0,4759,4410,0.9266652658121454,safe,0.166,3.805314190685749e-05,0.01866887300275266
1756845886,10,0,5100,4820,0.9450980392156862,safe,0.166,3.6315061151981354e-05,0.01656025112606585
1756845887,10,0,4092,4060,0.9921798631476051,safe,0.166,3.74792143702507e-05,0.01659626211039722
1756845888,10,0,2514,2405,0.956642800318218,safe,0.166,3.5011908039450645e-05,0.024346474092453718
1756845889,10,0,2520,2300,0.9126984126984127,safe,0.166,3.3817021176218987e-05,0.001050119986757636
1756845890,10,0,2482,2280,0.9186140209508461,safe,0.166,3.4307828173041344e-05,0.0005807799752801657
1756845891,10,0,0,3211,,,0.166,2.880697138607502e-05,0.06890346202999353
1756845892,10,0,670,600,0.8955223880597015,safe,0.166,5.55659644305706e-05,0.0002874659840017557
1756845893,10,0,1210,1105,0.9132231404958677,safe,0.166,5.7993922382593155e-05,0.0006333510391414165
1756845894,10,0,2912,2501,0.8588598901098901,safe,0.166,3.7722988054156303e-05,0.0019716580864042044
1756845895,10,0,2859,2655,0.9286463798530955,safe,0.166,6.3357874751091e-05,0.04787237802520394
1756845896,10,0,0,3002,,,0.166,3.0149007216095924e-05,0.16105170198716223
1756845897,10,0,2550,2416,0.9474509803921569,safe,0.166,2.7878908440470695e-05,0.0010413608979433775
1756845898,10,0,974,912,0.9363449691991786,safe,0.166,2.947309985756874e-05,0.0032148570753633976
1756845899,10,0,3118,2850,0.914047466324567,safe,0.166,3.338512033224106e-05,0.022602824959903955
1756845900,10,0,2880,2800,0.9722222222222222,safe,0.166,3.257486969232559e-05,0.0019950519781559706
1756845901,10,0,3654,3205,0.8771209633278598,safe,0.166,3.38659156113863e-05,0.00039340509101748466
1756845902,10,0,5212,4700,0.9017651573292402,safe,0.166,4.075700417160988e-05,0.006761416094377637
1756845903,10,0,3580,3070,0.8575418994413407,safe,0.166,3.8218917325139046e-05,0.01710624317638576
1756845904,10,0,956,850,0.8891213389121339,safe,0.166,2.9884977266192436e-05,0.0002908920869231224
1756845905,10,0,982,910,0.9266802443991853,safe,0.166,3.6037061363458633e-05,0.001306156162172556
1756845906,10,0,700,700,1.0,safe,0.166,3.719399683177471e-05,0.00016506295651197433
1756845907,10,0,2798,2565,0.9167262330235882,safe,0.166,3.905803896486759e-05,0.1324719439726323
1756845908,10,0,4342,4251,0.9790419161676647,safe,0.166,3.8411933928728104e-05,0.41153430100530386
1756845909,10,0,6404,6202,0.9684572142410993,safe,0.166,3.67090106010437e-05,0.48184416396543384
1756845910,10,0,3222,2900,0.9000620732464308,safe,0.166,3.6905985325574875e-05,0.008451752830296755
1756845911,10,0,3476,3020,0.8688147295742232,safe,0.166,3.1940871849656105e-05,0.012197925010696054
1756845912,10,0,0,1106,,,0.166,3.886222839355469e-05,0.024420205038040876
1756845913,10,0,5330,5170,0.9699812382739212,safe,0.166,4.3102074414491653e-05,0.03146045305766165
1756845914,10,0,908,802,0.8832599118942731,safe,0.166,3.6918092519044876e-05,0.03182959114201367
1756845915,10,0,3454,3240,0.9380428488708743,safe,0.166,3.226683475077152e-05,0.004140472039580345
1756845916,10,0,4140,4070,0.9830917874396136,safe,0.166,3.5424018278717995e-05,0.009251299081370234
1756845917,10,0,4722,4406,0.9330792037272342,safe,0.166,3.739004023373127e-05,0.1242224310990423
1756845918,10,0,2210,2140,0.9683257918552036,safe,0.166,3.202701918780804e-05,0.00692388997413218
1756845919,10,0,0,4150,,,0.166,3.3735064789652824e-05,0.0029224001336842775
1756845920,10,0,0,1202,,,0.166,3.551691770553589e-05,0.012369472067803144
