seeds,num_tasks,final_e2e_max,letG2023,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755018815,10,4266,3234,0.7580872011251758,safe,0.175,0.0001148910014308,0.5216356650016678,0.1698
1755018816,10,2762,2383,0.8627805937726285,safe,0.175,0.000117842999316,0.2295837479978217,0.1698
1755018817,10,0,2432,,,0.175,7.742199886706658e-05,0.070011848998547,0.1698
1755018818,10,0,806,,,0.175,7.750899749225937e-05,0.0059398459998192,0.1698
1755018819,10,2503,2264,0.9045145825009988,safe,0.175,7.914899833849631e-05,0.4915819429988914,0.1698
1755018820,10,3246,2785,0.8579790511398645,safe,0.175,8.495799920638092e-05,0.2612878190011543,0.1698
1755018821,10,2462,2292,0.9309504467912266,safe,0.175,7.70010010455735e-05,0.5680145309997897,0.1698
1755018822,10,4326,3205,0.7408691631992603,safe,0.175,8.321399945998564e-05,0.3479497440021077,0.1698
1755018823,10,3084,2572,0.833981841763943,safe,0.175,0.0010554299988143,0.1432810980004433,0.1698
1755018824,10,5284,3643,0.689439818319455,safe,0.175,0.0001095099978556,0.2572036129968182,0.1698
1755018825,10,2734,2368,0.8661302121433797,safe,0.175,0.0001027509970299,0.0947309980001591,0.1698
1755018826,10,3144,2572,0.8180661577608143,safe,0.175,0.0001079889989341,0.6217848519991094,0.1698
1755018827,10,4406,3219,0.7305946436677259,safe,0.175,9.508899893262424e-05,0.1949957409997296,0.1698
1755018828,10,2834,2538,0.8955539872971066,safe,0.175,8.859300214680843e-05,0.0449647710011049,0.1698
1755018829,10,4348,3410,0.7842686292548298,safe,0.175,9.194300218950956e-05,0.0934576430008746,0.1698
1755018830,10,4460,3720,0.8340807174887892,safe,0.175,9.021600271807984e-05,0.0057747760001802,0.1698
1755018831,10,756,579,0.7658730158730159,safe,0.175,7.70799997553695e-05,0.0099855619992013,0.1698
1755018832,10,574,442,0.7700348432055749,safe,0.175,0.0001217509998241,0.0010554789987509,0.1698
1755018833,10,0,835,,,0.175,5.689500176231377e-05,0.0116625449991261,0.1698
1755018834,10,0,1022,,,0.175,6.724500053678639e-05,0.0116676129982806,0.1698
1755018835,10,2954,2478,0.8388625592417062,safe,0.175,8.377900303457864e-05,0.0639631349986302,0.1698
1755018836,10,2928,2524,0.8620218579234973,safe,0.175,7.74589971115347e-05,0.3514325489995826,0.1698
1755018837,10,3364,2692,0.8002378121284186,safe,0.175,8.369799979845993e-05,0.257657404999918,0.1698
1755018838,10,7310,5189,0.7098495212038304,safe,0.175,8.627900024293922e-05,0.16702175699902,0.1698
1755018839,10,2808,2414,0.8596866096866097,safe,0.175,7.911599823273718e-05,0.118551681000099,0.1698
1755018840,10,3150,2688,0.8533333333333334,safe,0.175,8.301799971377477e-05,0.0559258489993226,0.1698
1755018841,10,2782,2401,0.8630481667864845,safe,0.175,8.969199916464277e-05,0.1265653990012651,0.1698
1755018842,10,2298,2150,0.9355961705831156,safe,0.175,7.98760011093691e-05,0.4708103849989129,0.1698
1755018843,10,3296,2649,0.8037014563106796,safe,0.175,0.0001008049985102,0.2658453049989475,0.1698
1755018844,10,2624,2412,0.9192073170731708,safe,0.175,0.0001149540003098,0.4996131570005673,0.1698
1755018845,10,0,493,,,0.175,6.76989984640386e-05,0.0127392169997619,0.1698
1755018846,10,3430,2715,0.7915451895043731,safe,0.175,9.682699965196662e-05,0.3732846630009589,0.1698
1755018847,10,3432,2816,0.8205128205128205,safe,0.175,8.271499973488972e-05,0.1628881309989083,0.1698
1755018848,10,3116,2558,0.8209242618741976,safe,0.175,8.425100168096833e-05,0.7242423639982007,0.1698
1755018849,10,4714,3379,0.7168010182435299,safe,0.175,0.0001014280023809,0.3372521620003681,0.1698
1755018850,10,2508,2254,0.8987240829346093,safe,0.175,0.0001059740025084,0.5849282689996471,0.1698
1755018851,10,3114,2558,0.821451509312781,safe,0.175,0.000101622998045,0.0630140309986018,0.1698
1755018852,10,2686,2343,0.8723008190618019,safe,0.175,0.000104475999251,0.3411118060030276,0.1698
1755018853,10,4332,3376,0.7793167128347184,safe,0.175,0.0074529580015223,0.2759207919989421,0.1698
1755018854,10,2955,2532,0.8568527918781725,safe,0.175,0.0001253859991265,0.0882803170024999,0.1698
1755018855,10,3466,2733,0.7885170225043278,safe,0.175,0.0001067960001819,0.2850041199999396,0.1698
1755018856,10,4502,3511,0.7798756108396269,safe,0.175,8.299500041175634e-05,0.0755715849991247,0.1698
1755018857,10,1090,760,0.6972477064220184,safe,0.175,8.990499918581918e-05,0.0018844450023607,0.1698
1755018858,10,2650,2335,0.8811320754716981,safe,0.175,8.693600102560595e-05,0.0160492340000928,0.1698
1755018859,10,2440,2231,0.914344262295082,safe,0.175,8.575299943913706e-05,0.3890518890002568,0.1698
1755018860,10,966,783,0.8105590062111802,safe,0.175,7.212700074887834e-05,0.0176196709981013,0.1698
1755018861,10,4002,3312,0.8275862068965517,safe,0.175,8.465499922749586e-05,0.3632673109968891,0.1698
1755018862,10,0,2495,,,0.175,0.0001078479981515,0.0151017820026027,0.1698
1755018863,10,2830,2425,0.8568904593639576,safe,0.175,8.474900096189231e-05,0.2468937509984243,0.1698
1755018864,10,1058,831,0.7854442344045368,safe,0.175,7.943499804241583e-05,0.0108464309996634,0.1698
1755018865,10,843,624,0.7402135231316725,safe,0.175,9.121699986280872e-05,0.0275896610000927,0.1698
1755018866,10,0,359,,,0.175,6.69900000502821e-05,0.0125530919976881,0.1698
1755018867,10,620,521,0.8403225806451613,safe,0.175,8.284299838123843e-05,0.0215206609973392,0.1698
1755018868,10,2836,2418,0.8526093088857546,safe,0.175,9.397299800184555e-05,0.571817395000835,0.1698
1755018869,10,0,544,,,0.175,0.0001329179976892,0.0014520250006171,0.1698
1755018870,10,2144,2073,0.9668843283582088,safe,0.175,8.318999971379526e-05,0.8586711299976741,0.1698
1755018871,10,4500,3531,0.7846666666666666,safe,0.175,8.10289966466371e-05,0.0565551680010685,0.1698
1755018872,10,7020,5234,0.7455840455840456,safe,0.175,8.77800011949148e-05,0.3456330049993994,0.1698
1755018873,10,2464,2256,0.9155844155844156,safe,0.175,9.445899922866374e-05,0.1433577820025675,0.1698
1755018874,10,0,1024,,,0.175,6.77050011290703e-05,0.0138077470001007,0.1698
1755018875,10,0,2168,,,0.175,7.917400216683745e-05,0.0771648800000548,0.1698
1755018876,10,6404,5609,0.8758588382261087,safe,0.175,9.131900151260196e-05,0.1757873489987105,0.1698
1755018877,10,0,355,,,0.175,8.299399996758439e-05,0.0063568090008629,0.1698
1755018878,10,3086,2543,0.8240440699935191,safe,0.175,8.449699816992506e-05,0.2552455799996096,0.1698
1755018879,10,2734,2368,0.8661302121433797,safe,0.175,8.16549982118886e-05,0.0929591770000115,0.1698
1755018880,10,2732,2366,0.8660322108345534,safe,0.175,7.602299956488423e-05,0.5804891289990337,0.1698
1755018881,10,4478,3251,0.7259937472085752,safe,0.175,8.393000098294578e-05,0.3296802639997622,0.1698
1755018882,10,3186,2603,0.8170119271814187,safe,0.175,7.936100155347958e-05,0.1806668850003916,0.1698
1755018883,10,6000,4232,0.7053333333333334,safe,0.175,7.94119987403974e-05,0.073604452998552,0.1698
1755018884,10,0,2273,,,0.175,4.81509996461682e-05,0.3063447020031162,0.1698
1755018885,10,4270,3141,0.7355971896955503,safe,0.175,8.989699927042238e-05,0.4300799700031348,0.1698
1755018886,10,4028,3321,0.8244786494538232,safe,0.175,8.602699745097198e-05,0.4243262620002497,0.1698
1755018887,10,0,499,,,0.175,5.7165001635439694e-05,0.0190634069986117,0.1698
1755018888,10,2636,2329,0.883535660091047,safe,0.175,8.40540014905855e-05,0.2596178169987979,0.1698
1755018889,10,4434,3318,0.7483085250338295,safe,0.175,8.533999789506197e-05,0.0863961700015352,0.1698
1755018890,10,3280,2640,0.8048780487804879,safe,0.175,7.8092998592183e-05,0.0180328760034171,0.1698
1755018891,10,4982,3621,0.7268165395423525,safe,0.175,9.736299762153068e-05,0.0584714870019524,0.1698
1755018892,10,4046,3264,0.8067226890756303,safe,0.175,8.782299846643582e-05,0.5488171700017119,0.1698
1755018893,10,3234,2617,0.8092145949288806,safe,0.175,9.263999891118146e-05,0.3574683859987999,0.1698
1755018894,10,665,535,0.8045112781954887,safe,0.175,9.674800094217062e-05,0.0312657710019266,0.1698
1755018895,10,7002,4536,0.6478149100257069,safe,0.175,0.0001186000008601,0.1490661269999691,0.1698
1755018896,10,4926,3464,0.7032074705643524,safe,0.175,0.0001107690004573,0.757153342001402,0.1698
1755018897,10,4692,3406,0.7259164535379369,safe,0.175,0.0001089799989131,0.1133208110004488,0.1698
1755018898,10,2792,2406,0.8617478510028653,safe,0.175,0.0001131410026573,0.2243743979997816,0.1698
1755018899,10,4504,3494,0.7757548845470693,safe,0.175,0.0001058500020008,0.0973006050007825,0.1698
1755018900,10,4622,3313,0.716789268714842,safe,0.175,0.0001105720002669,0.7716125850020035,0.1698
1755018901,10,0,2623,,,0.175,6.0337999457260594e-05,0.1370169619985972,0.1698
1755018902,10,4124,3340,0.8098933074684772,safe,0.175,0.0001063679992512,0.1369089949985209,0.1698
1755018903,10,970,756,0.7793814432989691,safe,0.175,0.0001400950022798,0.0087525570015714,0.1698
1755018904,10,3360,3180,0.9464285714285714,safe,0.175,0.0001322729985986,0.0333611020032549,0.1698
1755018905,10,4710,3705,0.7866242038216561,safe,0.175,0.0001377890002913,0.0119910559988056,0.1698
1755018906,10,0,4612,,,0.175,0.0001346240023849,0.326598224000918,0.1698
1755018907,10,3020,2513,0.8321192052980132,safe,0.175,6.518400186905637e-05,0.7686972980009159,0.1698
1755018908,10,0,786,,,0.175,0.0001033389999065,0.0159923550017992,0.1698
1755018909,10,0,3542,,,0.175,9.88710016827099e-05,0.0593170540014398,0.1698
1755018910,10,2534,2268,0.8950276243093923,safe,0.175,7.791299867676571e-05,0.0580054109996126,0.1698
1755018911,10,0,664,,,0.175,6.819600093876943e-05,0.0081253819989797,0.1698
1755018912,10,974,688,0.7063655030800822,safe,0.175,7.59899994591251e-05,0.004276365001715,0.1698
1755018913,10,4482,3372,0.7523427041499331,safe,0.175,7.331099914154038e-05,0.2640601499988406,0.1698
1755018914,10,4332,3180,0.7340720221606648,safe,0.175,8.067400267464109e-05,0.4067654570026207,0.1698
1755018915,10,4816,3521,0.7311046511627907,safe,0.175,9.270599912269972e-05,0.310809677997895,0.1698
1755018916,10,4540,4271,0.940748898678414,safe,0.175,8.315899685840122e-05,0.3465713699988555,0.1698
1755018917,10,6042,4199,0.6949685534591195,safe,0.175,8.753200017963536e-05,0.193283151002106,0.1698
1755018918,10,494,447,0.9048582995951416,safe,0.175,7.949199789436534e-05,0.0210715600005642,0.1698
1755018919,10,6544,4502,0.687958435207824,safe,0.175,8.060699838097207e-05,0.0388142800002242,0.1698
1755018920,10,2854,2427,0.850385423966363,safe,0.175,7.850499969208613e-05,0.4721759890016983,0.1698
1755018921,10,3330,2765,0.8303303303303303,safe,0.175,7.945199831738137e-05,0.0208247370028402,0.1698
1755018922,10,1074,838,0.7802607076350093,safe,0.175,7.302900121430866e-05,0.0039301270007854,0.1698
1755018923,10,0,636,,,0.175,0.0001341179995506,0.0066786790011974,0.1698
1755018924,10,0,931,,,0.175,7.389000165858306e-05,0.0258090919996902,0.1698
1755018925,10,678,542,0.799410029498525,safe,0.175,7.541800005128607e-05,0.0066869419970316,0.1698
1755018926,10,0,603,,,0.175,8.107000030577183e-05,0.0165113180009939,0.1698
1755018927,10,2754,2387,0.8667392883079158,safe,0.175,7.807200017850846e-05,0.8344082409967086,0.1698
1755018928,10,2934,2467,0.8408316291751875,safe,0.175,8.66169975779485e-05,0.4755601910001132,0.1698
1755018929,10,0,440,,,0.175,8.951500058174133e-05,0.0006122759987192,0.1698
1755018930,10,6420,4322,0.6732087227414331,safe,0.175,9.889600187307224e-05,0.3223694209991663,0.1698
1755018931,10,0,528,,,0.175,9.872200098470783e-05,0.0013339120014279,0.1698
1755018932,10,2725,2365,0.8678899082568807,safe,0.175,7.476299651898444e-05,0.0372946010029409,0.1698
1755018933,10,3390,2706,0.7982300884955752,safe,0.175,8.53890014695935e-05,0.0795697530011239,0.1698
