seeds,num_tasks,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G,finalpercent
1755024149,5,100,88,0.88,safe,0.037,4.432799687492661e-05,0.0001537170028313,0.0357
1755024150,5,404,352,0.8712871287128713,safe,0.037,5.5950000387383625e-05,0.0031051769983605,0.0357
1755024151,5,84,72,0.8571428571428571,safe,0.037,4.919800267089158e-05,0.0003329800019855,0.0357
1755024152,5,2440,2220,0.9098360655737704,safe,0.037,5.6626999139552936e-05,0.004010519998701,0.0357
1755024153,5,750,625,0.8333333333333334,safe,0.037,4.925199755234644e-05,0.0006324159985524,0.0357
1755024154,5,2464,2232,0.905844155844156,safe,0.037,5.896299990126863e-05,0.0237910709984134,0.0357
1755024155,5,230,215,0.9347826086956522,safe,0.037,4.786499994224869e-05,0.0030573589974665,0.0357
1755024156,5,2072,2036,0.9826254826254828,safe,0.037,5.891199907637201e-05,0.0962929950001125,0.0357
1755024157,5,824,612,0.7427184466019418,safe,0.037,5.13420018251054e-05,0.0016104549977171,0.0357
1755024158,5,3800,3405,0.8960526315789473,safe,0.037,6.152399873826653e-05,0.0030455349988187,0.0357
1755024159,5,626,513,0.8194888178913738,safe,0.037,5.371700171963312e-05,0.0068195950007066,0.0357
1755024160,5,822,811,0.98661800486618,safe,0.037,4.830399848287925e-05,0.0021862999965378,0.0357
1755024161,5,2044,2022,0.9892367906066536,safe,0.037,4.873700163443573e-05,0.0535018059999856,0.0357
1755024162,5,840,670,0.7976190476190477,safe,0.037,4.475699824979529e-05,0.0003310819993203,0.0357
1755024163,5,1100,860,0.7818181818181819,safe,0.037,4.050899951835163e-05,0.0002191210005548,0.0357
1755024164,5,610,606,0.9934426229508196,safe,0.037,4.030200216220692e-05,0.0042425300016475,0.0357
1755024165,5,822,611,0.7433090024330901,safe,0.037,4.33550012530759e-05,0.0023577009997097,0.0357
1755024166,5,2216,2110,0.9521660649819494,safe,0.037,5.806200351798907e-05,0.094381543000054,0.0357
1755024167,5,564,508,0.900709219858156,safe,0.037,5.969199992250651e-05,0.002112706999469,0.0357
1755024168,5,228,215,0.9429824561403508,safe,0.037,4.63030009996146e-05,0.0030921409997972,0.0357
1755024169,5,2704,2352,0.8698224852071006,safe,0.037,4.883899964625016e-05,0.0096151950019702,0.0357
1755024170,5,472,436,0.923728813559322,safe,0.037,5.881100150872953e-05,0.0049054480004997,0.0357
1755024171,5,2254,2128,0.9440993788819876,safe,0.037,5.353500091587193e-05,0.0377181119984015,0.0357
1755024172,5,0,351,,,0.037,5.837600110680796e-05,0.0012508319996413,0.0357
1755024173,5,2262,2131,0.9420866489832008,safe,0.037,6.040399966877885e-05,0.0840107980002358,0.0357
1755024174,5,308,254,0.8246753246753247,safe,0.037,5.1711998821701854e-05,0.0037304329998733,0.0357
1755024175,5,2450,2225,0.9081632653061223,safe,0.037,5.317799877957441e-05,0.0117361000011442,0.0357
1755024176,5,608,504,0.8289473684210527,safe,0.037,5.165499896975234e-05,0.0031449130001419,0.0357
1755024177,5,2036,2019,0.9916502946954814,safe,0.037,4.851300036534667e-05,0.163945407999563,0.0357
1755024178,5,2162,2091,0.9671600370027752,safe,0.037,4.864899892709218e-05,0.0384111920029681,0.0357
1755024179,5,2920,2460,0.8424657534246576,safe,0.037,5.090099875815213e-05,0.0019024799985345,0.0357
1755024180,5,2226,2113,0.949236298292902,safe,0.037,0.0001117749998229,0.180469549002737,0.0357
1755024181,5,360,290,0.8055555555555556,safe,0.037,4.715300019597635e-05,0.0003568669999367,0.0357
1755024182,5,2550,2285,0.8960784313725491,safe,0.037,5.4738000471843407e-05,0.0057643880027171,0.0357
1755024183,5,2542,2281,0.8973249409913454,safe,0.037,5.931399937253445e-05,0.029254581000714,0.0357
