seed,num_tasks,per_jitter,chain_type,final_e2e_max,max_reaction_time,R,exceed,false_percentage
1751634423,8,0.2,max_period,4501.324861392963,4293.4772946285175,0.953825246307567,safe,0.4
1751634423,8,0.2,min_period,4501.324861392963,4293.4772946285175,0.953825246307567,safe,0.4
1751634423,8,0.3,asc,4622.324861392963,4431.880847110466,0.9587990848775814,safe,0.5
1751634423,8,0.3,desc,4558.604762623901,4431.880847110466,0.9722011619536647,safe,0.8
1751634423,8,0.3,max_period,4622.324861392963,4431.880847110466,0.9587990848775814,safe,0.5
1751634423,8,0.3,min_period,4622.324861392963,4431.880847110466,0.9587990848775814,safe,0.5
1751634423,8,0.4,asc,0,4547.319944916868,,,0.8
1751634423,8,0.4,desc,0,4547.319944916868,,,0.9
1751634423,8,0.4,max_period,0,4547.319944916868,,,0.6
1751634423,8,0.4,min_period,0,4547.319944916868,,,0.8
1751634423,8,0.5,asc,0,4974.440168599157,,,0.9
1751634423,8,0.5,desc,0,4974.440168599157,,,1.0
1751634423,8,0.5,max_period,0,4974.440168599157,,,0.7
1751634423,8,0.5,min_period,0,4974.440168599157,,,0.9
1751634423,10,0,asc,0,1956.3520854188198,,,0.1
1751634423,10,0,desc,2626.0,1956.3520854188198,0.7449931779965041,safe,0.1
1751634423,10,0,max_period,2626.0,1956.3520854188198,0.7449931779965041,safe,0.1
1751634423,10,0,min_period,0,1956.3520854188198,,,0.2
1751634423,10,0.02,asc,0,2472.5079354326845,,,0.1
1751634423,10,0.02,desc,2652.2600000000007,2472.5079354326845,0.932226831243047,safe,0.1
1751634423,10,0.02,max_period,2652.2600000000007,2472.5079354326845,0.932226831243047,safe,0.1
1751634423,10,0.02,min_period,0,2472.5079354326845,,,0.2
1751634423,10,0.05,asc,0,2503.6014066541948,,,0.1
1751634423,10,0.05,desc,2691.65,2503.6014066541948,0.9301363129137127,safe,0.3
1751634423,10,0.05,max_period,2691.65,2503.6014066541948,0.9301363129137127,safe,0.2
1751634423,10,0.05,min_period,0,2503.6014066541948,,,0.3
1751634423,10,0.1,asc,0,2588.3287485010587,,,0.5
1751634423,10,0.1,desc,2757.3000000000006,2588.3287485010587,0.9387185828531746,safe,0.5
1751634423,10,0.1,max_period,2757.3000000000006,2588.3287485010587,0.9387185828531746,safe,0.4
1751634423,10,0.1,min_period,0,2588.3287485010587,,,0.6
1751634423,10,0.2,asc,0,2697.38405161869,,,0.7
1751634423,10,0.2,desc,2888.6,2697.38405161869,0.9338032443462889,safe,0.6
1751634423,10,0.2,max_period,2888.6,2697.38405161869,0.9338032443462889,safe,0.5
1751634423,10,0.2,min_period,0,2697.38405161869,,,0.7
1751634423,10,0.3,asc,0,2697.1687552984113,,,0.9
1751634423,10,0.3,desc,3019.9,2697.1687552984113,0.8931318107547969,safe,0.7
1751634423,10,0.3,max_period,3019.9,2697.1687552984113,0.8931318107547969,safe,0.7
