seeds,num_tasks,per_jitter,final_e2e_max,let,R,exceed,false_percentage,run_time_our,run_time_G
1756835764,10,0,4346,3673,0.845144960883571,safe,0.1751,3.7943944334983826e-05,0.06457335688173771
1756835765,10,0,2708,2354,0.8692762186115214,safe,0.1751,3.292807377874851e-05,0.25035484484396875
1756835766,10,0,2624,2337,0.890625,safe,0.1751,3.273598849773407e-05,0.13504384108819067
1756835767,10,0,0,1090,,,0.1751,2.5162938982248306e-05,0.0002144568134099245
1756835768,10,0,4536,3279,0.7228835978835979,safe,0.1751,6.405706517398357e-05,0.09309541899710894
1756835769,10,0,6004,4199,0.6993670886075949,safe,0.1751,5.173892714083195e-05,0.08572542807087302
1756835770,10,0,408,316,0.7745098039215687,safe,0.1751,3.481912426650524e-05,0.0021412919741123915
1756835771,10,0,4200,3141,0.7478571428571429,safe,0.1751,3.258208744227886e-05,0.22335979202762246
1756835772,10,0,0,700,,,0.1751,3.140908665955067e-05,0.005820470862090588
1756835773,10,0,0,826,,,0.1751,2.756505273282528e-05,0.004488282138481736
1756835774,10,0,900,744,0.8266666666666667,safe,0.1751,4.4201966375112534e-05,0.0008262470364570618
1756835775,10,0,6480,4560,0.7037037037037037,safe,0.1751,4.0661077946424484e-05,0.0010042970534414053
1756835776,10,0,2436,2229,0.9150246305418719,safe,0.1751,5.6575052440166473e-05,0.09466488985344768
1756835777,10,0,566,485,0.8568904593639576,safe,0.1751,3.088684752583504e-05,0.004888396942988038
1756835778,10,0,802,612,0.7630922693266833,safe,0.1751,5.611404776573181e-05,0.006541782058775425
1756835779,10,0,2782,2402,0.8634076204169662,safe,0.1751,3.4295953810214996e-05,0.05734198703430593
1756835780,10,0,3132,2717,0.8674968071519795,safe,0.1751,3.6471057683229446e-05,0.12008561100810766
1756835781,10,0,0,3022,,,0.1751,1.9269995391368866e-05,0.0927655880805105
1756835782,10,0,0,448,,,0.1751,5.572591908276081e-05,0.011971330037340522
1756835783,10,0,2972,2496,0.8398384925975774,safe,0.1751,5.09209930896759e-05,0.1882235410157591
1756835784,10,0,4586,3333,0.726777147841256,safe,0.1751,3.1641917303204536e-05,0.07312632002867758
1756835785,10,0,4405,3348,0.7600454029511918,safe,0.1751,3.2491981983184814e-05,0.19029803108423948
1756835786,10,0,0,455,,,0.1751,2.4770153686404228e-05,0.00022170785814523697
1756835787,10,0,2490,2245,0.9016064257028112,safe,0.1751,3.124005161225796e-05,0.2195401161443442
1756835788,10,0,5404,4490,0.8308660251665433,safe,0.1751,3.6215875297784805e-05,0.03481981810182333
1756835789,10,0,2964,2492,0.8407557354925776,safe,0.1751,4.093698225915432e-05,0.10979554709047079
1756835790,10,0,6030,4396,0.7290215588723051,safe,0.1751,3.570783883333206e-05,0.04197703581303358
1756835791,10,0,3376,3198,0.9472748815165877,safe,0.1751,3.42268031090498e-05,0.19485827186144888
1756835792,10,0,1100,762,0.6927272727272727,safe,0.1751,4.685507155954838e-05,0.0027837869711220264
1756835793,10,0,3248,2624,0.8078817733990148,safe,0.1751,3.64379957318306e-05,0.03960638213902712
1756835794,10,0,4262,3891,0.9129516658845612,safe,0.1751,3.711995668709278e-05,0.023228693986311555
1756835795,10,0,3287,2646,0.8049893519926985,safe,0.1751,3.268499858677387e-05,0.07852858281694353
1756835796,10,0,2874,2438,0.848295059151009,safe,0.1751,3.8699014112353325e-05,0.01946684392169118
1756835797,10,0,6424,4418,0.687733499377335,safe,0.1751,3.821984864771366e-05,0.03222483489662409
1756835798,10,0,4180,3441,0.8232057416267943,safe,0.1751,3.6559998989105225e-05,0.03238426405005157
1756835799,10,0,2536,2269,0.8947160883280757,safe,0.1751,4.21120785176754e-05,0.08452469995245337
1756835800,10,0,1310,871,0.6648854961832061,safe,0.1751,3.0807917937636375e-05,0.004487212980166078
1756835801,10,0,2470,2236,0.9052631578947369,safe,0.1751,0.00026504299603402615,0.1792166791856289
1756835802,10,0,1030,760,0.7378640776699029,safe,0.1751,4.657497629523277e-05,0.0035940089728683233
1756835803,10,0,3108,2594,0.8346203346203346,safe,0.1751,3.595580346882343e-05,0.042526151053607464
1756835804,10,0,384,303,0.7890625,safe,0.1751,3.594299778342247e-05,0.002395184012129903
1756835805,10,0,1204,827,0.6868770764119602,safe,0.1751,2.8584152460098267e-05,0.004391225054860115
1756835806,10,0,6004,4414,0.7351765489673551,safe,0.1751,3.592390567064285e-05,0.02831359300762415
1756835807,10,0,2976,2499,0.8397177419354839,safe,0.1751,3.650202415883541e-05,0.07521413406357169
1756835808,10,0,4410,3223,0.7308390022675737,safe,0.1751,4.093511961400509e-05,0.2527568640653044
1756835809,10,0,2348,2175,0.926320272572402,safe,0.1751,4.870910197496414e-05,0.18420398607850075
1756835810,10,0,4824,3438,0.7126865671641791,safe,0.1751,3.544404171407223e-05,0.022909498075023293
1756835811,10,0,996,849,0.8524096385542169,safe,0.1751,4.016701132059097e-05,0.004184456076472998
1756835812,10,0,0,3775,,,0.1751,3.0170893296599388e-05,0.0057674560230225325
1756835813,10,0,0,2712,,,0.1751,2.8091948479413986e-05,0.10561031801626086
1756835814,10,0,2744,2372,0.8644314868804664,safe,0.1751,3.438396379351616e-05,0.13258713111281395
1756835815,10,0,4316,3209,0.7435125115848007,safe,0.1751,3.220816142857075e-05,0.07842175103724003
1756835816,10,0,848,627,0.7393867924528302,safe,0.1751,2.7826987206935883e-05,0.0060101901181042194
1756835817,10,0,802,667,0.8316708229426434,safe,0.1751,4.595983773469925e-05,0.008182753808796406
1756835818,10,0,534,402,0.7528089887640449,safe,0.1751,3.434298560023308e-05,0.001761079067364335
1756835819,10,0,3012,2516,0.8353253652058433,safe,0.1751,3.628293052315712e-05,0.04856696608476341
1756835820,10,0,3744,3382,0.9033119658119658,safe,0.1751,3.88778280466795e-05,0.10548610403202474
1756835821,10,0,2832,2526,0.8919491525423728,safe,0.1751,3.548385575413704e-05,0.05191674502566457
1756835822,10,0,6184,4212,0.6811125485122898,safe,0.1751,0.00010750605724751949,0.021261179819703102
1756835823,10,0,2450,2235,0.9122448979591836,safe,0.1751,3.405008465051651e-05,0.012958933832123876
1756835824,10,0,968,734,0.7582644628099173,safe,0.1751,3.385404124855995e-05,0.006250177975744009
1756835825,10,0,2520,2260,0.8968253968253969,safe,0.1751,4.105782136321068e-05,0.34679464204236865
1756835826,10,0,3002,2511,0.8364423717521652,safe,0.1751,7.370486855506897e-05,0.04933151393197477
1756835827,10,0,589,472,0.801358234295416,safe,0.1751,4.10410575568676e-05,0.0008547999896109104
1756835828,10,0,622,462,0.7427652733118971,safe,0.1751,4.983902908861637e-05,0.0024907730985432863
1756835829,10,0,634,527,0.831230283911672,safe,0.1751,3.893207758665085e-05,0.012176688993349671
1756835830,10,0,4090,3329,0.8139364303178485,safe,0.1751,3.9490172639489174e-05,0.09330764296464622
1756835831,10,0,4006,3125,0.7800798801797304,safe,0.1751,4.529696889221668e-05,0.31058250716887414
1756835832,10,0,4164,3339,0.8018731988472623,safe,0.1751,4.21660952270031e-05,0.08920407691039145
1756835833,10,0,4172,3198,0.7665388302972196,safe,0.1751,3.700307570397854e-05,0.07345808483660221
1756835834,10,0,2474,2238,0.904607922392886,safe,0.1751,4.0150946006178856e-05,0.03179887309670448
1756835835,10,0,4822,3416,0.7084197428452924,safe,0.1751,3.7119025364518166e-05,0.1796577679924667
1756835836,10,0,2546,2273,0.8927729772191674,safe,0.1751,3.1349947676062584e-05,0.22851869487203658
1756835837,10,0,2148,2075,0.9660148975791434,safe,0.1751,6.981589831411839e-05,0.3062869019340724
1756835838,10,0,5162,4691,0.9087562960092987,safe,0.1751,3.422098234295845e-05,0.020503779873251915
1756835839,10,0,4000,3506,0.8765,safe,0.1751,4.1452934965491295e-05,0.049924952909350395
1756835840,10,0,5012,4207,0.8393854748603352,safe,0.1751,3.490503877401352e-05,0.11365721607580781
1756835841,10,0,4466,3733,0.835871025526198,safe,0.1751,3.360118716955185e-05,0.05613351217471063
1756835842,10,0,2484,2243,0.9029790660225443,safe,0.1751,5.398108623921871e-05,0.17369301081635058
1756835843,10,0,1320,962,0.7287878787878788,safe,0.1751,4.839594475924969e-05,0.01051038596779108
1756835844,10,0,3174,2598,0.8185255198487713,safe,0.1751,5.78761100769043e-05,0.026822282932698727
1756835845,10,0,4110,3309,0.8051094890510949,safe,0.1751,3.376416862010956e-05,0.07784871407784522
1756835846,10,0,2310,2165,0.9372294372294372,safe,0.1751,3.309384919703007e-05,0.10882331407628953
1756835847,10,0,4856,3639,0.7493822075782537,safe,0.1751,3.1291041523218155e-05,0.07283899281173944
1756835848,10,0,6040,5165,0.8551324503311258,safe,0.1751,3.244401887059212e-05,0.007393438834697008
1756835849,10,0,4400,3429,0.7793181818181818,safe,0.1751,5.779811181128025e-05,0.11114954692311585
1756835850,10,0,2794,2482,0.8883321403006442,safe,0.1751,3.646104596555233e-05,0.011382309952750802
1756835851,10,0,5112,4151,0.8120109546165885,safe,0.1751,3.624497912824154e-05,0.04887129180133343
1756835852,10,0,2210,2115,0.9570135746606335,safe,0.1751,3.180094063282013e-05,0.1481804270297289
1756835853,10,0,3138,2570,0.8189929891650733,safe,0.1751,4.1386112570762634e-05,0.1532261660322547
1756835854,10,0,1242,1029,0.8285024154589372,safe,0.1751,3.279908560216427e-05,0.0035746758803725243
1756835855,10,0,3344,3173,0.9488636363636364,safe,0.1751,3.2674986869096756e-05,0.1374256790149957
1756835856,10,0,2832,2447,0.8640536723163842,safe,0.1751,3.956886939704418e-05,0.1324197119101882
1756835857,10,0,2742,2381,0.8683442742523705,safe,0.1751,3.351294435560703e-05,0.03686554916203022
1756835858,10,0,2692,2346,0.8714710252600297,safe,0.1751,3.4316908568143845e-05,0.06578074092976749
1756835859,10,0,3684,2942,0.7985884907709012,safe,0.1751,6.02139625698328e-05,0.015609259949997067
1756835860,10,0,2906,2453,0.8441156228492773,safe,0.1751,3.333995118737221e-05,0.06731889303773642
1756835861,10,0,4242,3233,0.7621404997642621,safe,0.1751,5.5273063480854034e-05,0.08234361582435668
1756835862,10,0,5242,4621,0.8815337657382678,safe,0.1751,3.478885628283024e-05,0.026859564939513803
1756835863,10,0,3688,3344,0.9067245119305857,safe,0.1751,3.434903919696808e-05,0.13768762000836432
1756835864,10,0,4612,3446,0.7471812662619254,safe,0.1751,3.3210963010787964e-05,0.034966557985171676
1756835865,10,0,0,838,,,0.1751,3.3809104934334755e-05,0.003085253993049264
1756835866,10,0,922,661,0.7169197396963124,safe,0.1751,3.9782142266631126e-05,0.0032603030558675528
1756835867,10,0,3016,2519,0.8352122015915119,safe,0.1751,4.1289953514933586e-05,0.0951134420465678
