num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,false_percentage,ratios
5,0.4,0,9093.162952247467,,1.0,1.0
5,0.5,0,8277.273973426338,,1.0,1.0
5,0.5,0,9912.18914905417,,1.0,1.0
5,0.5,0,7159.327069551833,,1.0,1.0
5,0.5,0,5736.055956691542,,1.0,1.0
5,0.5,0,9244.405100280137,,1.0,1.0
5,0.5,0,8741.705224653568,,1.0,1.0
5,0.5,0,9374.372010098417,,1.0,1.0
5,0.5,0,10140.207267774636,,1.0,1.0
5,0.5,0,3661.3381902905658,,1.0,1.0
5,0.5,0,8998.24143196838,,1.0,1.0
3,0,4246.046989953999,2753.3891014790242,0.6484594042396252,0.0,1.5
3,0,6142.001226787372,5056.90873328049,0.8233324199327051,0.0,1.5
3,0,4726.887637307968,3506.625684208091,0.7418466342485699,0.0,1.5
3,0,6798.088356322069,6319.423594960144,0.9295883289135575,0.0,1.5
3,0,5159.7406654333345,4320.081078298552,0.8372670950771002,0.0,1.5
3,0,6415.8208159195365,6029.724662027212,0.9398212380036695,0.0,1.5
3,0,2688.0411638023625,2105.422802828138,0.7832554170598776,0.0,1.5
3,0,5994.950135160456,4480.9197785117085,0.7474490491974336,0.0,1.5
3,0,3050.5965378793962,2661.531580919126,0.8724626635711301,0.0,1.5
3,0,1476.3585246959447,1090.9688968778398,0.7389593236524471,0.0,1.5
3,0.02,4288.507459853539,4163.68835895003,0.9708945123514436,0.0,1.5
3,0.02,6203.421239055246,5694.883150577157,0.9180229636387651,0.0,1.5
3,0.02,4774.156513681048,4326.147604715791,0.9061595681495944,0.0,1.5
3,0.02,6866.06923988529,6703.190801549263,0.9762777751511943,0.0,1.5
3,0.02,5211.338072087668,4984.577805299697,0.9564871317785894,0.0,1.5
3,0.02,6479.9790240787315,6056.693811795809,0.9346779965320795,0.0,1.5
3,0.02,2714.9215754403863,2680.0195174578703,0.9871443586812063,0.0,1.5
3,0.02,6054.89963651206,5803.825121099609,0.9585336619126715,0.0,1.5
3,0.02,3081.10250325819,3010.988395220506,0.9772438249089278,0.0,1.5
3,0.02,1491.122109942904,1467.6576718060637,0.984263905698683,0.0,1.5
3,0.05,4352.19816470285,4160.804716140674,0.9560237283967414,0.0,1.5
3,0.05,6295.551257457055,5722.076689160026,0.9089079661423215,0.0,1.5
3,0.05,4845.059828240667,4365.77556031654,0.9010777400249018,0.0,1.5
3,0.05,6968.040565230121,6745.073215341352,0.9680014276895351,0.0,1.5
3,0.05,5288.734182069168,5003.8357625120825,0.9461310760289295,0.0,1.5
3,0.05,6576.216336317524,6099.7553273678095,0.927547850529425,0.0,1.5
