seeds,num_tasks,per_jitter,final_e2e_max,max_reaction_time,R,exceed,false_percentage,ratios
101,10,0.02,0,15998.958691210235,,,1.0,1.0
102,10,0.02,0,16403.73412911915,,,1.0,1.0
103,10,0.02,0,17092.79604477761,,,1.0,1.0
104,10,0.02,0,15510.455161788122,,,1.0,1.0
105,10,0.02,0,16197.597796379574,,,1.0,1.0
106,10,0.02,0,15577.243927789348,,,1.0,1.0
107,10,0.02,0,15556.083773432674,,,1.0,1.0
108,10,0.02,0,16761.343492341373,,,1.0,1.0
109,10,0.02,0,16446.38887597934,,,1.0,1.0
100,10,0.05,0,16987.032477848967,,,1.0,1.0
101,10,0.05,0,15978.137559979961,,,1.0,1.0
102,10,0.05,0,16649.746621097216,,,1.0,1.0
103,10,0.05,0,17096.609539777735,,,1.0,1.0
104,10,0.05,0,15594.90075230923,,,1.0,1.0
105,10,0.05,0,16221.214078039382,,,1.0,1.0
106,10,0.05,0,15596.997764244521,,,1.0,1.0
107,10,0.05,0,16243.757865291594,,,1.0,1.0
108,10,0.05,0,17136.138887600537,,,1.0,1.0
109,10,0.05,0,16326.160422717228,,,1.0,1.0
100,10,0.1,0,16847.27262421899,,,1.0,1.0
101,10,0.1,0,15515.757579751556,,,1.0,1.0
102,10,0.1,0,16432.115135434153,,,1.0,1.0
103,10,0.1,0,16833.637235542,,,1.0,1.0
104,10,0.1,0,15524.160422120898,,,1.0,1.0
105,10,0.1,0,16161.488652227199,,,1.0,1.0
106,10,0.1,0,16067.81154243033,,,1.0,1.0
107,10,0.1,0,16567.6647558482,,,1.0,1.0
108,10,0.1,0,17260.184962021332,,,1.0,1.0
109,10,0.1,0,16591.804752809323,,,1.0,1.0
100,10,0.2,0,16900.664601510427,,,1.0,1.0
101,10,0.2,0,15733.347761605964,,,1.0,1.0
102,10,0.2,0,16362.605409321093,,,1.0,1.0
103,10,0.2,0,17077.22188436036,,,1.0,1.0
104,10,0.2,0,15571.282948852982,,,1.0,1.0
105,10,0.2,0,16599.31682227277,,,1.0,1.0
106,10,0.2,0,15743.59937508318,,,1.0,1.0
107,10,0.2,0,16627.133918545518,,,1.0,1.0
108,10,0.2,0,17205.788935684628,,,1.0,1.0
109,10,0.2,0,16500.507144212643,,,1.0,1.0
100,10,0.3,0,17080.640750375846,,,1.0,1.0
101,10,0.3,0,16039.247781054506,,,1.0,1.0
102,10,0.3,0,16788.193840565986,,,1.0,1.0
103,10,0.3,0,17868.57782437943,,,1.0,1.0
104,10,0.3,0,15789.069888653205,,,1.0,1.0
105,10,0.3,0,16994.72283495561,,,1.0,1.0
106,10,0.3,0,16220.801512277938,,,1.0,1.0
107,10,0.3,0,16987.102228723194,,,1.0,1.0
108,10,0.3,0,17936.702135666128,,,1.0,1.0
109,10,0.3,0,16615.026591812646,,,1.0,1.0
100,10,0.4,0,17662.932162396297,,,1.0,1.0
101,10,0.4,0,16577.32576709233,,,1.0,1.0
102,10,0.4,0,16311.316178331626,,,1.0,1.0
103,10,0.4,0,17297.491123033567,,,1.0,1.0
104,10,0.4,0,15415.28122474056,,,1.0,1.0
105,10,0.4,0,16631.491639740983,,,1.0,1.0
106,10,0.4,0,16353.364464975855,,,1.0,1.0
107,10,0.4,0,17398.734937263816,,,1.0,1.0
108,10,0.4,0,18763.83254391412,,,1.0,1.0
109,10,0.4,0,16835.058526212364,,,1.0,1.0
100,10,0.5,0,18227.141418917956,,,1.0,1.0
101,10,0.5,0,16346.200050482828,,,1.0,1.0
102,10,0.5,0,17151.102062536414,,,1.0,1.0
103,10,0.5,0,17762.28002210159,,,1.0,1.0
104,10,0.5,0,15966.716519982245,,,1.0,1.0
